A10 A14 A15 A17 A19 A02 A20 A21 A22 A26 A27 A28 A29 A03 A30 A04 A05 A06 A07 A09 B01 B10 B11 B12 B13 B14 B15 B02 B03 B04 B05 B06 B07 B08 B09 C10 C12 C14 C15 C16 C17 C18 C19 C02 C03 C04 C06 C07 C08 C09 D10 D12 D13 D14 D17 D02 D20 D26 D27 D29 D31 D35 D04 D06 D09 E10 E12 E14 E16 E17 E22 E24 E03 E30 E31 E35 E40 E05 E08 E09 F10 F11 F13 F15 F16 F21 F22 F23 F26 F28 F29 F03 F32 F34 F36
Christensenellaceae_R-7_group 568 408 527 347 463 680 515 395 550 498 511 407 491 429 467 397 309 428 887 437 618 241 384 492 398 273 592 515 429 284 353 444 429 600 633 1838 960 423 4882 654 978 619 1130 1526 591 938 520 517 1572 325 353 386 533 315 120 332 234 481 362 306 210 462 528 306 440 190 646 298 348 319 300 330 403 269 236 335 388 149 413 313 303 579 420 417 1015 185 297 328 234 342 395 376 308 532 324
Ruminococcaceae_UCG-013 242 118 193 378 354 615 81 272 271 223 449 452 162 604 550 446 209 238 340 181 319 412 512 309 373 346 266 346 794 299 377 273 296 449 311 112 236 683 116 787 829 679 646 155 210 844 257 222 121 351 423 751 119 292 471 512 441 300 350 428 350 222 195 330 219 660 664 198 303 510 521 735 425 586 226 344 574 225 612 265 340 658 263 433 278 208 370 330 289 206 210 320 270 287 442
Tyzzerella_4 110 111 63 79 79 202 128 82 47 102 150 82 95 137 117 134 47 113 137 70 97 40 84 64 60 45 75 105 147 180 132 161 108 83 91 78 93 172 38 233 127 230 119 97 34 55 84 39 25 129 104 65 132 0 60 73 79 186 84 115 88 61 51 0 15 614 118 14 98 56 111 152 104 172 47 28 98 37 42 58 77 232 76 106 0 0 52 183 56 46 38 39 40 66 120
Lachnoclostridium_10 9 49 58 100 54 37 38 48 84 53 49 42 52 61 49 30 43 72 20 72 29 76 39 32 122 60 66 64 31 31 46 59 49 60 44 14 45 37 46 45 70 0 16 23 37 66 59 40 36 46 51 46 35 46 20 36 36 21 36 14 64 33 23 44 16 72 29 97 75 37 100 76 101 40 123 81 73 43 60 42 79 35 39 93 33 124 50 72 59 85 79 80 45 44 84
Phascolarctobacterium 0 215 59 0 215 0 0 239 0 76 0 154 0 201 155 199 0 22 0 374 61 572 209 120 106 124 290 200 67 25 167 119 262 31 62 0 52 126 0 31 285 339 141 224 346 210 87 69 0 104 0 55 145 179 348 0 346 301 148 357 171 0 0 0 123 35 132 299 142 150 32 367 23 177 203 375 0 150 0 202 257 0 87 139 36 266 0 26 192 200 158 98 34 0 289
Ruminococcaceae_UCG-010 679 914 1077 646 826 811 641 625 671 542 505 846 923 772 1125 869 903 682 492 845 1433 622 664 538 619 887 888 867 568 647 544 821 775 1236 443 183 251 465 481 337 533 386 229 559 242 674 326 51 132 787 828 552 236 443 572 547 557 378 368 347 375 328 278 232 484 675 645 908 497 680 491 295 447 657 416 592 625 714 695 485 808 582 226 551 627 525 354 507 514 524 577 446 273 327 442
Coprococcus_3 0 0 90 50 50 69 85 82 38 48 75 109 0 43 58 91 41 37 33 69 67 115 52 57 72 90 91 25 174 108 0 82 49 54 67 193 100 86 0 41 67 58 473 77 49 205 9 58 40 32 76 197 125 117 162 327 75 83 145 234 107 37 283 185 115 117 16 17 124 61 57 87 36 77 56 104 96 77 59 160 145 75 69 63 79 38 51 11 52 20 43 63 39 67 246
Tyzzerella 58 36 64 32 0 100 38 47 0 46 49 70 24 84 55 41 28 0 78 42 0 0 38 0 51 39 42 55 40 70 41 63 26 0 0 56 63 0 30 71 64 95 186 60 0 59 0 0 0 0 104 124 62 55 24 159 122 140 65 118 76 47 77 106 112 85 100 57 40 58 44 84 48 94 37 54 66 16 95 83 24 142 95 52 86 36 24 38 58 68 53 43 84 22 59
Coprococcus_2 20 21 49 92 20 59 68 0 73 45 30 35 32 23 54 17 24 102 32 79 28 240 63 45 60 0 11 16 0 22 32 25 20 21 0 11 12 44 199 96 65 20 88 46 59 91 32 10 0 0 0 0 98 83 0 0 0 0 157 0 25 0 19 0 0 0 0 0 69 0 75 18 0 35 0 0 0 0 0 20 25 54 0 35 0 0 0 34 39 0 0 0 0 51 18
Ruminococcaceae_NK4A214_group 70 62 49 120 49 87 41 46 117 112 64 121 177 182 204 39 34 120 164 93 61 62 57 39 111 93 80 67 112 95 31 73 99 76 16 34 41 33 77 74 63 157 174 115 58 74 75 33 117 29 93 46 38 53 50 69 38 57 95 84 55 101 117 58 76 17 113 53 55 29 99 32 19 47 64 32 110 30 97 51 20 101 155 117 120 41 20 73 92 75 84 57 127 111 53
Ruminiclostridium_6 23 39 0 24 20 8 21 14 26 10 16 17 25 40 26 9 8 25 44 31 16 21 11 19 31 28 16 56 5 34 36 56 26 13 26 33 71 0 5 8 5 18 0 35 73 9 23 0 9 26 49 32 90 0 0 0 0 15 37 10 133 0 0 0 1817 0 55 158 44 67 0 76 0 60 64 53 0 0 0 22 41 60 0 104 67 114 0 31 98 21 0 20 0 34 36
Dorea 83 32 29 70 15 43 24 37 56 28 31 41 19 25 53 20 14 40 75 20 38 31 31 33 49 62 59 19 21 25 30 41 24 12 24 558 49 64 140 29 60 66 101 120 158 109 37 168 168 27 23 35 100 39 17 40 8 74 35 20 13 21 50 28 32 42 41 32 15 30 30 54 32 14 18 25 38 14 48 38 23 58 28 38 45 0 20 16 30 42 66 22 26 35 43
Candidatus_Soleaferrea 90 88 91 25 100 134 80 51 60 22 76 101 47 85 73 86 58 27 18 81 267 74 144 87 124 50 53 77 98 68 56 94 59 50 21 42 173 44 61 92 106 148 111 177 52 73 44 19 37 34 68 95 68 82 10 65 78 83 46 69 79 46 42 82 45 41 53 39 73 89 96 43 81 85 60 69 89 75 113 72 52 147 40 73 239 59 74 46 40 73 97 49 46 22 85
Pygmaiobacter 17 43 0 56 62 27 74 56 74 71 73 48 82 103 99 30 28 21 27 44 23 30 46 41 22 23 53 52 49 16 62 51 44 14 10 74 26 12 59 0 86 45 83 103 126 33 29 23 64 30 45 0 5 58 69 24 27 31 67 58 6 0 21 35 20 0 5 42 33 0 10 35 0 29 13 105 65 34 57 34 7 173 44 72 0 6 64 10 76 6 0 64 6 0 93
Marvinbryantia 0 7 0 0 11 0 0 0 0 0 0 0 0 12 0 0 0 0 28 0 18 17 8 10 14 16 16 12 8 16 0 34 17 0 42 24 46 13 17 17 37 27 59 34 44 40 43 19 30 16 21 58 19 66 67 49 32 45 49 40 26 41 100 41 44 27 141 31 19 28 30 27 49 34 31 45 27 20 29 19 26 25 21 30 78 0 45 29 15 20 29 33 11 81 28
dgA-11_gut_group 51 132 155 32 123 96 0 123 60 73 0 190 0 82 39 119 0 80 32 123 38 58 217 75 285 199 199 50 20 72 67 64 113 48 44 0 98 108 0 229 275 171 56 222 41 174 154 3 0 0 93 0 174 98 0 0 89 38 99 147 87 39 195 199 0 90 71 82 37 63 32 36 461 86 195 154 225 147 0 120 145 0 32 220 76 219 0 31 43 60 112 44 34 20 291
Oscillibacter 73 88 92 82 109 128 93 106 89 116 84 102 189 148 154 109 68 54 63 69 133 138 127 45 144 74 82 43 142 90 103 90 61 56 69 25 55 48 77 50 49 52 34 120 36 88 79 8 68 110 118 127 10 74 49 96 77 59 106 81 57 137 98 79 87 45 130 140 65 92 63 65 109 48 57 35 84 86 101 45 133 69 89 99 38 48 51 15 114 54 77 66 114 45 87
Flavonifractor 37 50 49 58 37 48 29 61 56 40 21 33 45 0 39 50 5 35 21 48 93 18 42 25 93 37 44 0 23 22 18 54 37 44 55 22 0 0 7 0 10 32 20 1 24 77 9 0 26 56 184 45 61 111 107 112 103 87 83 164 48 135 0 118 89 72 32 92 54 164 68 110 85 65 91 144 134 139 108 143 94 99 60 182 54 67 52 87 0 113 90 33 132 40 122
Lachnospiraceae_FCS020_group 11 24 39 13 38 71 29 19 20 17 86 31 0 20 15 0 27 15 65 35 7 14 13 7 30 41 16 10 58 56 41 31 13 6 37 47 10 11 48 21 11 23 17 28 59 11 29 0 36 17 16 0 0 16 116 108 100 32 68 24 31 33 137 37 128 0 270 77 0 50 49 106 45 54 20 19 74 63 27 27 16 57 0 16 8 84 32 0 11 14 60 73 84 24 163
Ruminococcaceae_UCG-009 41 38 59 88 48 42 87 19 88 33 98 14 127 12 20 12 73 48 43 39 48 40 25 9 81 51 41 108 37 43 50 52 0 61 6 70 56 48 115 23 38 72 45 77 69 86 16 26 84 66 107 145 0 74 73 80 104 101 52 115 85 43 38 49 99 65 116 41 47 45 60 35 41 19 43 105 109 51 61 67 64 46 71 61 118 46 147 76 90 54 104 17 64 49 71
Family_XIII_AD3011_group 43 21 39 26 17 78 44 20 51 12 57 34 19 39 28 50 21 12 25 34 13 41 7 19 31 0 14 41 0 36 29 48 25 19 14 0 62 18 26 45 26 0 0 24 45 41 0 0 6 27 21 31 0 35 34 53 51 35 0 53 25 22 12 43 16 19 28 23 40 27 52 0 29 19 13 24 39 21 38 32 19 27 0 33 25 22 22 30 51 63 34 21 44 26 37
Ruminococcaceae_UCG-007 72 47 48 26 46 77 77 44 55 70 76 57 88 39 65 62 47 46 86 31 13 36 39 20 48 11 50 15 31 13 20 13 17 54 21 18 32 18 32 23 33 36 17 36 33 25 26 20 14 22 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0
Ruminococcaceae_UCG-014 187 62 145 176 119 152 38 47 174 19 134 152 71 208 93 105 178 118 76 88 79 13 7 88 173 23 23 14 56 41 9 165 0 0 19 388 255 25 120 114 11 279 494 137 338 224 86 218 264 4 7 59 28 138 48 177 73 145 77 53 44 43 46 21 148 57 167 29 99 74 90 194 78 235 46 167 222 77 245 104 158 440 27 145 213 156 221 163 198 157 199 29 110 46 195
Lachnospiraceae_AC2044_group 0 23 75 77 0 27 16 40 80 9 44 21 0 13 43 0 44 130 0 18 31 32 29 28 11 75 117 66 13 50 49 59 5 0 15 10 0 30 43 116 20 7 19 76 65 100 66 23 42 13 0 0 20 0 0 25 26 0 0 0 58 8 16 0 0 8 15 11 36 62 0 87 50 20 66 56 16 0 24 0 0 16 0 0 28 11 36 14 0 63 61 27 0 15 0
Lachnoclostridium 7 9 8 10 14 18 11 8 0 0 10 8 8 0 11 12 0 13 20 6 9 11 10 0 18 19 14 9 7 0 0 10 12 14 10 84 21 33 41 22 21 39 49 44 89 28 11 113 136 8 10 13 17 0 4 12 0 19 0 9 8 0 6 12 5 9 0 0 7 0 0 26 2 10 0 5 0 0 0 6 7 0 0 9 9 8 8 1 0 7 7 0 0 0 7
Ruminiclostridium_1 11 7 6 15 31 32 18 11 14 4 11 13 0 7 11 21 9 23 38 23 24 22 0 0 0 0 0 23 0 14 15 11 0 37 15 30 31 3 12 48 4 92 82 40 31 90 6 13 10 18 3 0 6 0 8 13 0 6 0 0 0 4 0 5 3 15 18 9 0 11 19 51 0 19 8 11 12 13 30 7 9 33 0 6 5 9 8 3 6 10 8 5 11 10 6
Ruminococcaceae_UCG-004 22 15 13 8 12 32 0 0 8 0 31 10 13 34 13 23 11 31 21 19 17 11 28 16 0 26 18 27 8 28 10 16 17 21 0 0 0 42 0 35 43 38 57 55 0 30 22 0 0 51 36 86 12 13 0 58 41 37 35 66 47 142 60 42 57 0 23 15 0 17 10 25 23 15 0 19 18 0 16 26 9 18 104 15 67 13 5 0 20 31 24 14 16 16 15
Negativibacillus 0 37 28 39 10 45 0 32 52 15 0 37 5 22 27 27 0 17 20 17 26 0 39 7 57 52 34 31 0 30 22 24 15 45 0 18 0 29 24 16 32 54 90 17 35 34 0 17 30 0 61 49 0 37 46 37 25 28 19 57 28 23 0 19 14 38 20 30 18 34 15 28 22 12 0 0 45 0 0 0 0 30 0 20 17 20 0 19 0 0 16 0 26 20 7
Dielma 0 8 13 17 9 0 0 16 6 10 11 13 16 0 14 0 0 0 8 4 0 0 0 6 47 0 0 0 0 21 0 38 0 0 0 0 0 0 9 7 4 114 143 14 0 0 17 0 30 9 21 29 9 21 11 15 20 23 7 42 14 18 0 6 3 25 14 14 8 17 0 27 0 0 0 0 23 9 9 7 0 36 15 9 0 0 11 0 19 14 5 5 0 0 18
Ruminococcus_2 0 0 0 0 0 0 0 0 0 0 31 0 0 14 0 0 0 13 7 0 16 0 0 0 0 0 17 0 23 0 0 0 0 0 0 8 14 21 0 10 0 24 26 0 0 0 0 35 217 0 0 0 12 0 7 0 0 9 0 0 0 23 0 34 0 0 51 7 0 10 0 17 29 0 27 0 7 10 0 0 7 242 10 10 0 16 0 11 0 18 10 13 10 0 15
Odoribacter 18 14 16 19 14 9 24 13 21 3 19 10 13 19 13 18 0 13 11 14 12 6 23 5 23 20 15 18 9 9 6 29 12 14 34 8 7 22 24 9 17 12 0 20 2 19 6 0 0 5 17 49 6 39 23 23 40 18 0 9 15 5 8 3 10 30 61 29 11 14 7 52 27 8 14 24 67 14 12 3 6 7 16 4 5 8 11 17 12 8 12 15 0 18 9
Anaerovorax 15 17 16 11 14 19 12 9 18 9 18 10 11 17 24 12 16 17 7 10 4 18 11 5 21 15 8 9 0 0 12 9 4 9 6 7 15 14 14 0 8 9 12 0 0 8 14 0 10 7 15 19 0 20 0 24 16 11 8 21 9 6 0 7 7 0 14 7 9 12 0 0 9 6 12 10 0 8 13 13 6 9 6 0 12 12 8 14 5 0 6 10 19 10 9
Defluviitaleaceae_UCG-011 19 20 18 28 24 0 20 0 25 0 37 0 11 14 29 0 17 34 17 25 16 6 17 16 27 28 0 38 16 20 20 19 23 16 0 17 14 20 25 0 8 41 46 30 37 7 22 4 12 0 39 11 27 24 0 45 14 63 9 13 18 28 14 0 11 6 13 15 11 0 9 24 24 0 5 8 22 0 32 19 21 62 0 5 43 8 26 12 26 0 6 0 34 33 30
Ruminiclostridium 16 11 23 22 27 46 23 0 49 38 47 0 42 49 47 0 24 22 45 4 32 10 4 0 12 8 8 41 0 9 24 12 0 9 20 9 0 26 0 20 4 22 12 33 5 5 21 0 0 33 7 46 6 0 0 13 0 13 14 0 0 25 17 4 25 0 3 0 0 9 0 0 9 0 15 5 0 11 0 15 0 26 22 0 13 0 0 0 0 0 16 0 17 5 0
Ruminiclostridium_9 33 3 5 0 1 18 18 0 0 18 0 0 34 0 17 0 8 23 22 15 21 22 31 0 36 5 20 0 20 0 0 0 0 11 44 22 0 0 21 0 35 9 0 6 0 0 17 11 0 1 0 16 0 21 0 30 0 0 42 34 2 25 22 15 9 9 13 10 9 0 6 0 11 0 10 6 16 23 13 5 0 0 17 0 9 13 0 15 3 27 26 0 0 0 0
Ruminiclostridium_5 15 21 55 9 17 54 4 8 12 22 31 46 13 29 15 16 18 12 11 12 0 19 23 15 37 0 24 17 41 15 17 21 16 8 0 11 89 9 46 14 0 25 35 60 33 32 0 23 40 13 14 18 19 23 0 15 0 22 18 20 13 30 0 10 0 0 8 8 6 11 11 9 10 8 6 13 10 6 8 25 7 9 20 27 36 0 0 0 7 25 9 6 15 0 38
Papillibacter 27 18 16 20 20 12 10 11 19 14 15 12 21 41 35 16 16 13 44 22 13 37 19 8 48 28 23 7 17 0 5 7 9 25 12 0 42 17 6 22 6 36 4 19 33 9 0 13 47 11 12 4 12 0 0 20 0 4 0 0 0 0 0 0 3 0 5 0 0 7 7 24 0 10 0 14 15 0 8 0 5 24 0 0 10 0 4 6 17 8 15 0 16 4 12
Anaerofustis 25 11 0 0 13 27 13 18 0 0 0 18 0 0 0 8 12 21 32 10 0 0 17 11 15 12 15 0 10 0 26 0 20 0 0 78 21 17 0 13 0 23 0 34 65 0 8 0 62 5 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 5 7 9 0 0 0 0 7 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0
Candidatus_Saccharimonas 0 0 0 0 0 0 0 30 0 19 0 0 0 24 0 19 15 0 0 0 0 0 0 0 10 21 32 0 0 13 0 16 0 0 0 53 0 0 37 0 12 30 38 30 142 0 0 37 194 12 0 0 0 0 0 28 6 0 0 0 20 0 0 0 0 14 0 0 14 0 6 0 0 0 0 16 0 0 0 0 0 18 0 0 27 0 0 0 0 12 13 0 0 0 0
Blautia 0 0 0 11 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 8 0 0 0 0 0 220 0 13 49 0 0 22 0 0 0 11 0 31 136 0 0 6 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 24 0 0 0 8 14 0 0 0 0 0 0 0 17 0 0 0 0 0 0 8 0 0 0
Romboutsia 9 0 26 12 0 16 0 0 9 0 0 0 0 0 0 14 0 0 15 16 10 0 7 5 0 7 8 12 0 0 0 19 0 0 0 51 0 0 0 0 0 0 0 0 24 0 0 0 40 7 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 13 0 0 0 0 11 11 0 0 0 0 0 0 13 26 12 0 0 0 0 24 0 0 0 0 0
Caproiciproducens 0 10 4 4 5 0 0 0 6 0 7 4 0 4 0 8 5 4 0 5 19 7 12 4 13 0 6 0 8 0 0 0 5 4 5 0 15 9 0 0 13 0 12 0 10 0 5 0 9 0 0 15 15 4 4 0 7 7 0 9 11 4 6 14 7 0 0 0 0 10 7 0 4 0 0 12 11 0 8 5 0 9 0 15 0 0 6 6 11 0 0 0 3 0 4
Mailhella 0 25 43 16 0 0 0 0 12 0 13 0 34 19 0 22 0 18 9 0 32 23 31 36 32 13 29 0 0 0 0 0 21 0 39 0 0 0 0 0 22 0 0 10 0 0 0 0 0 0 14 0 0 6 0 0 0 0 7 11 0 0 0 0 0 10 0 39 18 0 0 0 0 0 22 0 0 7 0 0 0 0 4 0 0 0 0 23 0 16 0 0 10 0 0
GCA-900066575 14 9 0 11 0 21 0 0 0 0 13 13 8 9 11 6 0 8 15 0 0 8 0 0 0 0 4 0 11 9 0 0 0 0 0 0 0 0 15 11 0 12 24 14 0 9 0 16 11 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 10 0 0 0 0 0 0 0 0 0 15 0 0 0 8 0 8 0 0 0 0 0 0 0
Candidatus_Stoquefichus 0 19 7 10 3 18 0 19 9 14 7 8 0 6 18 21 10 8 23 0 5 0 21 0 10 5 21 16 10 12 0 12 7 2 0 105 29 6 5 0 5 32 31 18 22 28 13 138 15 6 5 22 2 6 0 4 0 0 0 5 10 0 0 6 0 2 4 5 9 7 3 10 3 7 0 4 0 0 0 0 0 12 0 9 0 0 0 9 0 0 4 0 0 5 9
Treponema_2 0 0 0 12 23 0 0 2 3 0 0 4 4 0 0 0 0 2 0 3 8 5 9 5 13 16 4 11 9 0 0 2 35 6 0 0 4 13 0 2 8 5 0 4 0 0 9 0 3 69 0 4 52 0 0 0 0 3 3 0 3 18 0 0 4 4 0 3 5 0 0 35 7 4 7 0 15 0 0 0 43 7 7 10 10 3 0 12 6 13 49 3 0 3 0
Family_XIII_UCG-001 4 0 0 6 0 5 12 0 0 0 15 0 0 5 3 0 0 0 6 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 24 5 8 8 0 4 6 6 8 10 0 0 0 10 0 0 0 9 0 0 0 0 0 0 8 0 0 4 0 9 0 0 0 4 6 0 0 4 6 0 9 0 4 7 0 0 11 6 0 7 0 0 5 0 0 4 4 7 0 4
Lachnospiraceae_UCG-010 0 0 0 0 0 15 7 0 0 0 9 0 0 0 0 0 0 0 0 0 9 0 0 0 8 0 0 11 0 0 0 6 0 0 0 14 17 0 0 0 0 0 0 5 14 15 7 0 0 0 0 0 0 0 0 0 18 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 14 11 0 0 0 0 0 0 0 0 19 0 0
Angelakisella 7 0 0 0 8 9 0 0 7 0 0 9 0 0 0 6 0 0 0 0 0 8 0 0 10 0 0 13 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 7 0 14 0 0 0 0 0 9 0 10 0 6 0 9 0 0 10 0 0 0 0 0 0 0 5 11 8 6 0 0 0 10
Faecalibacterium 0 4 0 0 0 7 0 4 8 0 0 0 7 0 9 0 0 4 0 5 0 5 0 0 8 0 5 0 0 3 0 0 0 0 0 4 6 0 0 0 0 0 0 7 5 0 0 0 0 0 11 0 0 0 0 2 0 8 0 7 4 0 0 9 0 0 0 9 4 0 0 0 0 0 0 0 12 0 11 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 5
Anaeroplasma 0 0 0 5 0 0 6 0 0 0 0 0 0 0 0 0 5 0 0 6 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 8 0 4 7 0 0 0 0 0 0 0 0 0 0 2 0 21 7 8 0 0 0 4 0 17 3 0 3 0 12 0 0 5 0 0 0 8 0 0 5 0 6 0 0
Slackia 0 0 0 4 4 0 0 3 10 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 5 4 0 0 0 0 0 0 0 0 69 0 0 6 0 0 0 0 5 5 3 0 14 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0
GCA-900066225 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 7 6 0 0 9 0 4 0 0 0 0 0 10 0 7 0 0 0 0 0 0 0 0 0 4 0 0 0 0 4 0 0 0 4 0 9 4 0 0 0 0 0 0 0 0 0 0 0 0 0
Hydrogenoanaerobacterium 0 0 6 0 5 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 12 0 8 9 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 4 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 5 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 5 0 0
Sanguibacteroides 0 0 0 7 0 0 0 0 5 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0 0 3 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 5 0 2 3 0 0 2 0 0 6 0 0 4 0 3 0 0 0 0 3 5 0 0 0
